# N,K0,Re,CFL,VISC,STEPS,PALIN,SIG,TIME,DT,MINUTES,FPS,U,L,TAU_L,T_OVER_TAU_L,E(J),TS,AVERAGE_KIND,SPECTRUM_SAMPLES,T_START,T_END,TOTAL_DT,FIRST_STEP,LAST_STEP
# 8192,10,895834.1375582933,0.1,1.1162780676405386e-06,1000,380,3,0.005405560786576635,5.434923878055997e-06,1.3450946410497029,12.378311155121732,0.9984041669479471,0.5216967398920705,0.5225306115126318,0.010344964806805312,19.67625810808117,2026-05-10T13:57:26Z,simulation-time trapezoid,11,5.384892111570201e-06,0.005405560786576635,0.005400175894465065,1,1000
normalized_radius,shell_sum_energy,count
0.029491554798022922,3.331520606322998e+16,468
0.02954909929518979,1.040963589468965e+16,368
0.02960664379235667,1.942067170453552e+16,428
0.029664188289523545,2.4851034899828296e+16,368
0.029721732786690415,6436180920311112.0,428
0.029779277283857288,2.821863651268354e+16,412
0.02983682178102416,1.7322463513417984e+16,440
0.029894366278191038,5850351103579779.0,328
0.029951910775357908,2.9706154232484496e+16,488
0.030009455272524785,1.72491442973209e+16,360
0.03006699976969166,4418783314120096.0,416
0.03012454426685853,3.460526023389423e+16,404
0.030182088764025408,1.3194926210365382e+16,460
0.030239633261192285,3012086128202006.0,328
0.030297177758359155,3.736221244572912e+16,500
0.030354722255526028,1.0321450088297972e+16,356
0.0304122667526929,9916850421715678.0,460
0.030469811249859778,3.116636978615022e+16,360
0.030527355747026648,1.0533887909807824e+16,432
0.030584900244193525,2.06046806775705e+16,428
0.0306424447413604,2.4240439707936356e+16,444
0.03069998923852727,6964246153671436.0,368
0.030757533735694148,2.7856032657262012e+16,436
0.030815078232861025,1.723157863673434e+16,448
0.030872622730027895,6652366737658364.0,428
0.030930167227194768,2.9193965204547896e+16,412
0.03098771172436164,1.750796453499434e+16,448
0.031045256221528518,4379448745671777.5,352
0.031102800718695388,3.7659615128140184e+16,504
0.031160345215862265,1.0453162168279834e+16,352
0.03121788971302914,3503553150830988.0,448
0.03127543421019602,3.7795675150971944e+16,436
